labels,movie_name,nums,ranking,rate,score,score_num,title
,,,,,27180960,,
,,,,,2270545,,
,,,,,30135448,,
,,,,,26897025,,
,,,,,3014183,,
,,,,,26683725,,
,,,,,4718246,,
,,,,,3926132,,
,,,,,26703476,,
,,,,,3142715,,
,,,,,2357303,,
,,,,,1917796,,
,,,,,26345137,,
,,,,,25840705,,
"[['剧情', '古装']]",,4226460,,8.7,,2010,苍穹之昴‎ (2010)
"[['喜剧', '爱情', '古装']]",,26657015,,7.2,,2015,太子妃升职记‎ (2015)
[['剧情']],,27176635,,6.2,,2018,北京女子图鉴‎ (2018)
"[['爱情', '奇幻', '古装']]",,27663746,,6.4,,2018,我在大理寺当宠物‎ (2018)
[['剧情']],,2158486,,8.9,,2006,暗算‎ (2006)
"[['剧情', '爱情']]",,26683725,,7.4,,2017,外科风云‎ (2017)
"[['剧情', '动作', '古装']]",,4718246,,7.7,,2011,水浒传‎ (2011)
"[['剧情', '悬疑']]",,26614088,,5.9,,2016,老九门‎ (2016)
"[['爱情', '武侠', '古装']]",,26897025,,6.5,,2018,芸汐传‎ (2018)
"[['剧情', '古装', '家庭']]",,3014183,,6.0,,2010,红楼梦‎ (2010)
"[['犯罪', '悬疑']]",,30135448,,6.2,,2018,罪案心理小组X‎ (2018)
"[['剧情', '爱情']]",,25840705,,8.1,,2014,匆匆那年‎ (2014)
"[['剧情', '喜剧', '武侠', '古装']]",,2270545,,7.5,,2000,春光灿烂猪八戒‎ (2000)
"[['剧情', '爱情', '悬疑']]",,26345137,,7.2,,2016,如果蜗牛有爱情‎ (2016)
"[['剧情', '犯罪']]",,1917796,,8.8,,2003,征服‎ (2003)
"[['剧情', '家庭']]",,2357303,,9.5,,2005,福贵‎ (2005)
"[['剧情', '爱情', '家庭']]",,27180960,,6.8,,2018,幸福一家人‎ (2018)
"[['爱情', '武侠', '古装']]",,3142715,,7.3,,2008,射雕英雄传‎ (2008)
"[['爱情', '奇幻', '古装']]",,26703476,,5.9,,2018,烈火如歌‎ (2018)
"[['喜剧', '爱情']]",,3926132,,8.0,,2009,爱情公寓‎ (2009)
,,,,,26670687,,
,,,,,26640097,,
,,,,,24697826,,
,,,,,25885442,,
,,,,,21766654,,
,,,,,30382825,,
,,,,,26665352,,
,,,,,26100709,,
,,,,,25943173,,
,,,,,26345152,,
,,,,,26734684,,
,,,,,25823274,,
,,,,,27045331,,
,,,,,2982064,,
,,,,,30402198,,
,,,,,3933008,,
,,,,,26614086,,
,,,,,3629206,,
,,,,,2341884,,
,,,,,26882446,,
"[['剧情', '爱情']]",,25885442,,6.6,,2015,何以笙箫默‎ (2015)
"[['剧情', '奇幻', '武侠', '古装']]",,24697826,,6.4,,2014,古剑奇谭‎ (2014)
[['真人秀']],,30382825,,7.0,,2018,最美的时光‎ (2018)
"[['剧情', '爱情', '古装']]",,26640097,,4.7,,2018,扶摇‎ (2018)
"[['悬疑', '奇幻']]",,26670687,,7.7,,2016,灵魂摆渡3‎ (2016)
"[['剧情', '古装']]",,21766654,,5.4,,2015,芈月传‎ (2015)
"[['动作', '奇幻', '武侠']]",,2982064,,7.3,,2002,风云‎ (2002)
"[['剧情', '爱情']]",,26665352,,3.7,,2018,创业时代‎ (2018)
"[['喜剧', '家庭']]",,27045331,,7.5,,2018,快把我哥带走‎ (2018)
"[['犯罪', '悬疑']]",,26345152,,7.6,,2015,心理罪‎ (2015)
"[['剧情', '动画', '武侠']]",,25943173,,8.1,,2014,画江湖之不良人‎ (2014)
"[['剧情', '爱情']]",,25823274,,7.3,,2014,杉杉来了‎ (2014)
"[['爱情', '悬疑']]",,26614086,,5.9,,2016,美人为馅‎ (2016)
"[['剧情', '爱情', '古装']]",,3933008,,7.6,,2010,美人心计‎ (2010)
"[['剧情', '爱情']]",,26734684,,4.4,,2017,夏至未至‎ (2017)
"[['动画', '奇幻', '武侠', '古装']]",,30402198,,8.1,,2018,雪鹰领主‎ (2018)
"[['剧情', '惊悚', '恐怖']]",,26100709,,7.9,,2015,灵魂摆渡2‎ (2015)
"[['剧情', '战争']]",,3629206,,8.8,,2009,生死线‎ (2009)
"[['奇幻', '古装']]",,26882446,,4.6,,2018,斗破苍穹‎ (2018)
"[['剧情', '传记', '历史', '战争', '古装']]",,2341884,,9.1,,1996,东周列国·春秋篇‎ (1996)
,,,,,2210236,,
,,,,,21759697,,
,,,,,2222629,,
,,,,,27083552,,
,,,,,2190981,,
,,,,,25907063,,
,,,,,4894070,,
,,,,,2349361,,
,,,,,2244363,,
,,,,,27080949,,
,,,,,30263199,,
,,,,,30158965,,
,,,,,2248529,,
,,,,,2147630,,
,,,,,6965622,,
,,,,,30243303,,
,,,,,26974046,,
,,,,,2189642,,
,,,,,2153480,,
,,,,,2248758,,
