labels,movie_name,nums,ranking,rate,score,score_num,title
"[['儿童', '动画', '奇幻', '冒险', '短片']]",,1941319,,8.8,,1992,怪老头儿‎ (1992)
"[['剧情', '战争']]",,3629206,,8.8,,2009,生死线‎ (2009)
"[['剧情', '犯罪']]",,1917796,,8.8,,2003,征服‎ (2003)
"[['剧情', '家庭']]",,3901451,,8.8,,1985,四世同堂‎ (1985)
"[['动画', '短片']]",,26969075,,8.9,,2016,一禅小和尚‎ (2016)
[[]],,2296027,,8.9,,2003,唐人街‎ (2003)
[['动画']],,26841316,,8.9,,2016,禽兽超人之无奸不摧‎ (2016)
"[['剧情', '历史']]",,21759697,,8.8,,2013,舞乐传奇‎ (2013)
"[['剧情', '动作', '儿童']]",,2154872,,8.8,,1992,少年特工‎ (1992)
[['剧情']],,2988897,,8.9,,2004,民工‎ (2004)
"[['儿童', '喜剧', '动画']]",,26829827,,8.8,,2002,蓝猫淘气3000问之恐龙时代‎ (2002)
"[['剧情', '爱情']]",,2157156,,8.8,,2003,似水年华‎ (2003)
[[]],,10467781,,8.8,,1999,雷雨‎ (1999)
[[]],,26877495,,8.8,,2016,那年那兔哪些事儿 番外篇‎ (2016)
[[]],,3241944,,8.8,,2001,小和尚‎ (2001)
[['家庭']],,3025342,,8.8,,2008,八兄弟‎ (2008)
,白鹿原,,8.8,,26322644,,
,尘世笑谈,,8.8,,2373368,,
,孝子,,8.8,,2346508,,
,我叫MT第二季,,8.8,,24774013,,
,蓝猫淘气3000问之太空历险记,,8.8,,26829804,,
,动什么，别动感情,,8.8,,2917743,,
,围棋少年,,8.8,,3278993,,
,一触即发,,8.8,,6534101,,
,这里的黎明静悄悄,,8.8,,2248579,,
,十月围城,,8.8,,21351469,,
,十七岁不哭,,8.8,,2155335,,
,风筝,,8.7,,25752323,,
,0号宿舍,,8.7,,30337186,,
,三毛流浪记,,8.8,,3418557,,
,腾空的日子,,8.7,,25889645,,
,白鸽岛,,8.8,,4713986,,
,儿女情长,,8.8,,3101890,,
,茶啊二中 第一季,,8.7,,25978319,,
,爱情女侦探,,8.8,,3062551,,
,大耳朵图图 第三季,,8.8,,25711819,,
"[['剧情', '历史']]",,26322644,,8.8,,2017,白鹿原‎ (2017)
[['家庭']],,2346508,,8.8,,2006,孝子‎ (2006)
"[['儿童', '喜剧', '动作']]",,26829804,,8.8,,2005,蓝猫淘气3000问之太空历险记‎ (2005)
[['剧情']],,2373368,,8.8,,2007,尘世笑谈‎ (2007)
"[['喜剧', '动画']]",,24774013,,8.8,,2010,我叫MT第二季‎ (2010)
"[['剧情', '历史', '爱情', '战争']]",,2248579,,8.8,,2005,这里的黎明静悄悄‎ (2005)
[['剧情']],,6534101,,8.8,,2012,一触即发‎ (2012)
"[['剧情', '历史', '战争']]",,21351469,,8.8,,2014,十月围城‎ (2014)
"[['剧情', '儿童']]",,3278993,,8.8,,2005,围棋少年‎ (2005)
[['剧情']],,2917743,,8.8,,2005,动什么，别动感情‎ (2005)
"[['喜剧', '动画']]",,25978319,,8.7,,2014,茶啊二中 第一季‎ (2014)
[['剧情']],,2155335,,8.8,,1997,十七岁不哭‎ (1997)
[['喜剧']],,3062551,,8.8,,1996,爱情女侦探‎ (1996)
[['动画']],,25711819,,8.8,,2010,大耳朵图图 第三季‎ (2010)
"[['剧情', '科幻', '动画', '冒险']]",,4713986,,8.8,,2003,白鸽岛‎ (2003)
[['喜剧']],,25889645,,8.7,,2014,腾空的日子‎ (2014)
"[['剧情', '家庭']]",,3101890,,8.8,,1996,儿女情长‎ (1996)
"[['剧情', '悬疑']]",,25752323,,8.7,,2017,风筝‎ (2017)
,超神学院第3季：神与神,,8.8,,26363111,,
,居家男人,,8.8,,3218531,,
,我叫MT第三季,,8.8,,25766787,,
,孙子兵法与三十六计,,8.7,,3145159,,
,苍穹之昴,,8.7,,4226460,,
,血色浪漫,,8.7,,1931974,,
,编辑部的故事,,8.7,,2154390,,
,特别车队,,8.7,,2244569,,
,凸变英雄,,8.7,,26888884,,
,瑶玲啊瑶玲,,8.7,,4888048,,
,魔方大厦,,8.7,,2156754,,
,说的就是你II,,8.7,,26589522,,
,饼干警长,,8.8,,6849037,,
,小贝流浪记,,8.7,,3642274,,
"[['儿童', '动画']]",,3418557,,8.8,,2006,三毛流浪记‎ (2006)
"[['儿童', '喜剧', '动画']]",,30337186,,8.7,,2018,0号宿舍‎ (2018)
,非常公民,,8.7,,2326161,,
,一人之下 第一季,,8.7,,26815153,,
,秦时明月之百步飞剑,,8.7,,3074717,,
,请你原谅我,,8.7,,5377114,,
,永不回头,,8.7,,4047001,,
,生肖传奇之十二生肖闯江湖,,8.7,,21348822,,
"[['剧情', '古装']]",,3145159,,8.7,,2000,孙子兵法与三十六计‎ (2000)
"[['剧情', '古装']]",,4226460,,8.7,,2010,苍穹之昴‎ (2010)
[['动画']],,25766787,,8.8,,2010,我叫MT第三季‎ (2010)
"[['剧情', '喜剧', '爱情']]",,3218531,,8.8,,2004,居家男人‎ (2004)
[['动画']],,26363111,,8.8,,2015,超神学院第3季：神与神‎ (2015)
[['喜剧']],,26589522,,8.7,,2015,说的就是你II‎ (2015)
"[['儿童', '喜剧', '动画']]",,6849037,,8.8,,2009,饼干警长‎ (2009)
"[['剧情', '动画']]",,3642274,,8.7,,1999,小贝流浪记‎ (1999)
"[['喜剧', '爱情', '动画']]",,4888048,,8.7,,2004,瑶玲啊瑶玲‎ (2004)
"[['喜剧', '动画']]",,26888884,,8.7,,2016,凸变英雄 TO BE HERO‎ (2016)
[['爱情']],,1931974,,8.7,,2004,血色浪漫‎ (2004)
"[['剧情', '儿童', '动作', '动画', '冒险']]",,2244569,,8.7,,1993,特别车队‎ (1993)
"[['剧情', '家庭']]",,4047001,,8.7,,2010,永不回头‎ (2010)
"[['儿童', '动画', '奇幻', '冒险']]",,2156754,,8.7,,1990,魔方大厦‎ (1990)
[['喜剧']],,2154390,,8.7,,1992,编辑部的故事‎ (1992)
"[['动画', '儿童', '奇幻']]",,21348822,,8.7,,2012,生肖传奇之十二生肖闯江湖‎ (2012)
"[['剧情', '传记', '历史']]",,2326161,,8.7,,2002,非常公民‎ (2002)
"[['剧情', '爱情', '家庭']]",,5377114,,8.7,,2011,请你原谅我‎ (2011)
"[['动画', '武侠']]",,3074717,,8.7,,2007,秦时明月之百步飞剑‎ (2007)
,那年那兔那些事 第二季,,8.7,,26647032,,
,狄仁杰断案传奇,,8.7,,3010194,,
,千秋家国梦,,8.7,,2365069,,
,我叫MT第五季,,8.7,,25766797,,
,美丽人生,,8.7,,3223643,,
,一地鸡毛,,8.7,,1830591,,
,和你在一起,,8.7,,5244067,,
,动物王国窃案,,8.7,,2260830,,
,大英雄狄青,,8.7,,3091047,,
,我叫MT第四季,,8.7,,25766793,,
"[['喜剧', '动作', '动画', '奇幻']]",,26815153,,8.7,,2016,一人之下 第一季‎ (2016)
,舒克和贝塔,,8.7,,1870436,,
,原乡,,8.7,,11500327,,
,神探狄仁杰,,8.7,,2995948,,
,仙剑奇侠传,,8.6,,2210031,,
,命案十三宗,,8.7,,2995109,,
,我叫MT第六季,,8.7,,25766798,,
,雄兵连之乾坤篇,,8.7,,30156276,,
,你好，旧时光,,8.6,,26581830,,
,沂蒙,,8.7,,4172568,,
,永不磨灭的番号,,8.6,,6013870,,
[['剧情']],,2365069,,8.7,,1997,千秋家国梦‎ (1997)
[['动画']],,26647032,,8.7,,2015,那年那兔那些事 第二季‎ (2015)
"[['犯罪', '悬疑', '武侠']]",,3010194,,8.7,,1996,狄仁杰断案传奇‎ (1996)
[['剧情']],,3223643,,8.7,,2008,美丽人生‎ (2008)
"[['剧情', '犯罪']]",,2995109,,8.7,,2000,命案十三宗‎ (2000)
[[]],,25766797,,8.7,,2012,我叫MT第五季‎ (2012)
"[['剧情', '喜剧', '动画']]",,25766798,,8.7,,2013,我叫MT第六季‎ (2013)
"[['爱情', '奇幻', '武侠', '古装']]",,2210031,,8.6,,2005,仙剑奇侠传‎ (2005)
"[['剧情', '悬疑', '古装']]",,2995948,,8.7,,2004,神探狄仁杰‎ (2004)
[['剧情']],,11500327,,8.7,,2014,原乡‎ (2014)
[['动画']],,25766793,,8.7,,2011,我叫MT第四季‎ (2011)
